,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
61,JAMMU & KASHMIR,Urban,15-59,0.0001559575213777784,2403,0.4253945480631277,730,0.15925394548063126,0.015303682448589193,3013,0.35437589670014347,0.36609277857484457
62,JAMMU & KASHMIR,Urban,60+,0.00010803657088269346,1361,0.5302036589575423,204,0.06489471867449086,0.005522954780807732,2542,0.37141870900932,0.5060407317915084
63,JAMMU & KASHMIR,Urban,Age not stated,1.4917027391466132e-07,1,0.75,0,0.0,0.0,4,0.25,0.75
64,HIMACHAL PRADESH,Rural,0-14,0.00010214434506306435,1530,0.4414019715224535,23,0.00547645125958379,0.0029207740051113546,2499,0.5104052573932092,0.4019715224534502
65,HIMACHAL PRADESH,Rural,15-59,0.0003797129322497704,5621,0.4479473580828914,4245,0.293851895501866,0.12306030249459832,3137,0.1256138283244942,0.1824788843056374
66,HIMACHAL PRADESH,Rural,60+,0.0004173411338447437,5126,0.5419533553748548,1770,0.10821195603610044,0.049950853364310606,7153,0.25618800822089177,0.3829863282995264
67,HIMACHAL PRADESH,Rural,Age not stated,1.0441919174026294e-06,14,0.5,8,0.17857142857142858,0.10714285714285714,15,0.21428571428571427,0.32142857142857145
68,HIMACHAL PRADESH,Rural,0-14,0.00010318853698046697,1449,0.4763281532345501,53,0.009757860498735092,0.0093964582580412,2478,0.4712685218648356,0.42428623057462955
69,HIMACHAL PRADESH,Rural,15-59,0.0004089130133685654,6027,0.4503419972640219,4820,0.3151846785225718,0.12439580483356133,2822,0.09886000911992704,0.15850433196534428
70,HIMACHAL PRADESH,Rural,60+,0.00037945188427041974,5162,0.49267813267813265,1831,0.13110565110565112,0.04884520884520885,6093,0.2581818181818182,0.3406388206388206
71,HIMACHAL PRADESH,Rural,Age not stated,1.1933621913172905e-06,15,0.53125,3,0.09375,0.0,23,0.25,0.46875
